title,importId,parentImportId,description,progressPercent,status,priority,assignee,startDate,dueDate
系统管理,T-1,,,0,todo,,黄志文,,
机构管理,T-2,,,0,todo,,,,
人员管理,T-3,,,0,todo,,,,
移动办公,T-4,,,0,todo,,,,
现金库存预警阈值测算,T-5,,,0,todo,,,,
凭证管理,T-6,,,0,todo,,,,
业务印章管理,T-7,,,0,todo,,,,
重要物品管理,T-8,,,0,todo,,,,
查库管理,T-9,,,0,todo,,,,
检查管理,T-10,,,0,todo,,,,
电子登记簿,T-11,,,0,todo,,,,
审批流程管理,T-12,,,0,todo,,,,
知识库,T-13,,,0,todo,,,,
报告功能,T-14,,,0,todo,,,,
案例库管理,T-15,,,0,todo,,,,
自定义数据填写,T-16,,,0,todo,,,,
其他,T-17,,,0,todo,,,,
档案管理,T-18,,,0,todo,,,,
网点登记,T-19,T-18,,0,todo,,,,
签收整理,T-20,T-18,,0,todo,,,,
科学保管,T-21,T-18,,0,todo,,,,
档案借阅,T-22,T-18,,0,todo,,,,
档案销毁,T-23,T-18,,0,todo,,,,
档案查询,T-24,T-18,,0,todo,,,,
常量定义,T-25,T-18,,0,todo,,,,
视图画像,T-26,,,0,todo,,,,
监督预警,T-27,,,0,todo,,,,
模型实验室-模型管理,T-28,T-27,,0,todo,,,,
模型实验室-模型试验,T-29,T-27,,0,todo,,,,
配置管理,T-30,T-27,,0,todo,,,,
任务处理,T-31,T-27,,0,todo,,,,
差错管理,T-32,T-27,,0,todo,,,,
模型实验室-综合查询,T-33,T-27,,0,todo,,,,
模型实验室-统计报表,T-34,T-27,,0,todo,,,,
模型实验室-历史数据查询,T-35,T-27,,0,todo,,,,
批量任务,T-36,T-27,,0,todo,,,,
外联服务,T-37,,,0,todo,,,,
柜面审批流程开发,T-38,,,0,todo,,,,
任务调度,T-39,,,0,todo,,,,
流程引擎,T-40,,,0,todo,,,,
数据贯标,T-41,,,0,todo,,,,
集成部署,T-42,,,0,todo,,,,
非功能需求实现,T-43,,,0,todo,,,,
信息安全需求实现,T-44,,,0,todo,,,,
自定义登记簿开发,T-45,,,0,todo,,,,
档案管理服务原型集成,T-46,T-18,,0,todo,,,,
移动门户集成,T-47,,,0,todo,,,,
公共组件开发,T-48,,,0,todo,,,,
数字人对接,T-49,,,0,todo,,,,
考培服务,T-50,,,0,todo,,,,
其他,T-51,,,0,todo,,,,
批量任务模型,T-52,,,0,todo,,,,
普通预警模型,T-53,T-52,,0,todo,,,,
积分卡预警模型,T-54,T-52,,0,todo,,杜宝祥,,
监督模型,T-55,T-52,,0,todo,,,,
批量任务,T-56,,,0,todo,,,,
实时数据处理,T-57,T-56,,0,todo,,,,
FM_BORROW_MAIN,T-58,,,0,todo,,张辉,,
登录方式,T-59,T-1,,100,done,,郭震,2026/01/12,2026/01/23
登录页面优化,T-60,T-1,,100,done,,王白石,2026/01/15,2026/01/19
机构设置,T-61,T-1,需要联调调整,100,done,,赵庆欣,2026/02/02,2026/02/12
机构前端组件封装,T-62,T-1,,100,done,,王白石,2026/01/19,2026/01/21
用户管理,T-63,T-1,3月19号拿到人力用户信息同步接口 / 3月11号拿到接口字段码值说明,100,done,,赵庆欣,2026/02/02,2026/02/12
参数设置,T-64,T-1,,100,done,,黄志文,2026/01/04,2026/01/04
工作平台,T-65,T-1,,100,done,,赵庆欣,2026/01/12,2026/01/15
工作平台前端,T-66,T-1,,80,in_progress,,王白石,2026/01/14,2026/01/15
任务中心公共服务开发,T-67,T-1,,100,done,,赵庆欣,2026/01/15,2026/01/15
消息中心开发,T-68,T-1,,100,done,,赵庆欣,2026/01/16,2026/01/17
机构开立/变更,T-69,T-2,,100,done,,陈义康,2026/01/22,2026/01/29
机构撤并管理,T-70,T-2,,100,done,,陈义康,2026/01/22,2026/01/29
柜员信息维护申请表,T-71,T-3,审批信息打印下载 / 公共实现,100,done,,杜宝祥,2026/01/20,2026/01/26
假期维护,T-72,T-3,,100,done,,吴卓隆,2025/12/23,2025/12/29
假期提前销假,T-73,T-3,,100,done,,吴卓隆,2025/12/23,2025/12/29
轮岗参数配置,T-74,T-3,,100,done,,吴卓隆,2025/12/30,2026/01/05
轮岗数据查询,T-75,T-3,,100,done,,吴卓隆,2025/12/30,2026/01/05
专业人才库入库人员名单,T-76,T-3,,100,done,,吴卓隆,2025/12/30,2026/01/05
流程审批,T-77,T-4,细化具体要放在移动端审批的功能,20,in_progress,,王白石,2026/01/28,2026/03/26
信息提醒与查看,T-78,T-4,,100,done,,王白石,2026/03/16,2026/03/26
假期维护申请,T-79,T-4,,100,done,,王白石,2026/03/16,2026/03/26
提前销假申请,T-80,T-4,待测试,90,in_progress,,王白石,2026/03/16,2026/03/26
画像查看,T-81,T-4,,0,todo,,王白石,2026/04/09,2026/05/15
查库台账,T-82,T-4,,100,done,,王白石,2026/03/27,2026/04/08
检查执行,T-83,T-4,,90,in_progress,,王白石,2026/03/27,2026/04/08
案例库查看,T-84,T-4,,100,done,,王白石,2026/03/27,2026/04/08
增加防伪水印,T-85,T-4,,100,done,,陈奇,2026/02/04,2026/02/05
现金库存预警阈值测算,T-86,T-5,湖仓数据表同步（已归为公共部门）,100,done,,陈义康,2026/01/19,2026/01/20
重空或业务用纸版面设计,T-87,T-6,工作流-退回,100,done,,陈义康,2026/01/08,2026/01/17
凭证定制申请,T-88,T-6,工作流-退回,100,done,,陈义康,2026/01/08,2026/01/17
凭证定制信息维护,T-89,T-6,,100,done,,陈义康,2026/01/08,2026/01/17
凭证申领登记簿,T-90,T-6,,100,done,,陈义康,2026/01/08,2026/01/17
凭证移交,T-91,T-6,,100,done,,陈义康,2026/01/08,2026/01/17
凭证作废登记簿,T-92,T-6,,100,done,,陈义康,2026/01/08,2026/01/17
凭证销毁申请,T-93,T-6,,100,done,,陈义康,2026/01/08,2026/01/17
凭证销毁登记簿,T-94,T-6,需求取消,100,done,,陈义康,2026/01/08,2026/01/17
凭证特殊使用申请,T-95,T-6,工作流-退回,100,done,,陈义康,2026/01/08,2026/01/17
业务印章设计,T-96,T-7,,100,done,,黄志文,2026/01/10,2026/01/19
业务印章申请,T-97,T-7,,100,done,,黄志文,2026/01/10,2026/01/19
业务印章入库登记,T-98,T-7,文件上传下载预览，后台改存储方式,100,done,,张辉,2026/01/10,2026/01/19
业务印章停/启用,T-99,T-7,改为复核,100,done,,张辉,2026/01/10,2026/01/19
业务印章移交,T-100,T-7,文件上传下载预览，后台改存储方式,100,done,,张辉,2026/01/10,2026/01/19
业务印章销毁,T-101,T-7,,100,done,,黄志文,2026/01/10,2026/01/19
业务印章管理台账,T-102,T-7,文件上传下载预览，后台改存储方式,100,done,,张辉,2026/01/10,2026/01/19
重要物品种类维护,T-103,T-8,,100,done,,陈义康,2025/12/23,2025/12/31
重要物品登记,T-104,T-8,数据权限 只能查询本机构和下级机构的数据,100,done,,陈义康,2025/12/23,2025/12/31
重要物品领取,T-105,T-8,,100,done,,陈义康,2025/12/23,2025/12/31
重要物品交接,T-106,T-8,,100,done,,陈义康,2025/12/23,2025/12/31
重要物品销毁,T-107,T-8,无工作流,100,done,,陈义康,2026/01/04,2026/01/07
重要（备用）物品启用/停用,T-108,T-8,,100,done,,陈义康,2026/01/04,2026/01/07
查库参数配置,T-109,T-9,,100,done,,高歌,2025/12/24,2025/12/24
查库执行计划,T-110,T-9,,100,done,,高歌,2025/12/25,2026/01/20
查库执行管理,T-111,T-9,,100,done,,高歌,2025/12/25,2026/01/20
查库执行管理-文件类接口解析,T-112,T-9,文件数据返回接口已完成开发：二代货发假币收缴登记簿查询接口SCMS85341500**    ==带回来的文件应该解析出具体数据==,100,done,,吴卓隆,2026/02/05,2026/02/12
查库执行台账,T-113,T-9,缺远程查库查看影像对接影像平台,95,in_progress,,高歌,2025/12/25,2026/01/20
业务印章查库计划,T-114,T-9,,100,done,,高歌,2025/12/25,2026/01/20
业务印章查库执行,T-115,T-9,,100,done,,高歌,2025/12/25,2026/01/20
电子印章查库计划,T-116,T-9,,100,done,,高歌,2025/12/25,2026/01/20
电子印章查库执行,T-117,T-9,,100,done,,高歌,2025/12/25,2026/01/20
转代执行查库,T-118,T-9,,100,done,,高歌,2025/12/25,2026/01/20
查库批量任务及远程任务推送+消息通知,T-119,T-9,,100,done,,高歌,2026/02/05,2026/02/12
需求变更：将远程查库也修改成给角色下所有用户发任务,T-120,T-9,,0,todo,,,,
检查内容分类维护,T-121,T-10,,100,done,,李金阳,2026/01/05,2026/01/07
检查问题分类维护,T-122,T-10,,100,done,,李金阳,2026/01/08,2026/01/09
检查计划,T-123,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
检查执行,T-124,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
事实认定,T-125,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
结果确认,T-126,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
检查报告,T-127,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
问题跟踪整改,T-128,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
问题整改确认,T-129,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
检查人员管理,T-130,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
检查管理台账,T-131,T-10,,100,done,,李金阳,2026/01/12,2026/01/31
现金处理机具维护升级登记簿,T-132,T-11,,100,done,,吴卓隆,2026/01/20,2026/01/31
非管库人员入库登记簿,T-133,T-11,,100,done,,吴卓隆,2026/01/20,2026/01/31
登记运营主管工作日志交易,T-134,T-11,待柜面确认同步考勤数据方式,100,done,,吴卓隆,2026/01/20,2026/01/31
登记运营主管工作日志报表,T-135,T-11,,100,done,,吴卓隆,2026/01/20,2026/01/31
会计岗位交接登记簿,T-136,T-11,,100,done,,吴卓隆,2026/01/20,2026/01/31
自助设备机构长款申请调账单,T-137,T-12,待柜面联调,100,done,,黄志文,2026/01/29,2026/02/12
客户单户优惠汇率维护,T-138,T-12,差核心接口,100,in_progress,,黄志文,2026/01/29,2026/02/12
资金调拨单流程,T-139,T-12,,100,in_progress,,黄志文,2026/01/29,2026/02/12
知识库管理,T-140,T-13,,0,todo,,黄志文,2026/05/06,2026/05/31
智能检索,T-141,T-13,,0,todo,,黄志文,2026/05/06,2026/05/31
报告模板管理,T-142,T-14,,0,todo,,,,
报告生成,T-143,T-14,,0,todo,,,,
数据查看,T-144,T-14,,0,todo,,,,
数据补录管理-任务列表,T-145,T-14,,0,todo,,,,
数据补录管理-新增补录任务,T-146,T-14,,0,todo,,,,
数据补录管理-待补录数据表列表,T-147,T-14,,0,todo,,,,
数据补录管理-补录数据明细,T-148,T-14,,0,todo,,,,
补录情况查看,T-149,T-14,,0,todo,,,,
新增案例,T-150,T-15,对接存储平台公共方法实现,100,done,,杜宝祥,2026/01/12,2026/01/14
案例下线,T-151,T-15,,100,done,,杜宝祥,2026/01/12,2026/01/14
案例查询,T-152,T-15,,100,done,,杜宝祥,2026/01/12,2026/01/14
新增模板,T-153,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
模板编辑,T-154,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
模板查询,T-155,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
模板复核,T-156,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
任务发布,T-157,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
模板收回,T-158,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
任务管理,T-159,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
填写情况查看,T-160,T-16,,100,done,,赵庆欣,2026/02/02,2026/02/12
交易评分,T-161,T-51,,100,done,,陈义康,2026/01/21,2026/01/21
扫描凭证登记,T-162,T-19,细节及公共部分待优化,100,done,,张辉,2026/01/31,2026/02/02
非扫描凭证登记,T-163,T-19,细节及公共部分待优化,100,done,,张辉,2026/02/03,2026/02/04
凭证签收,T-164,T-20,,100,done,,张辉,2026/02/24,2026/02/28
封包,T-165,T-20,,100,done,,张辉,2026/03/02,2026/03/04
封箱,T-166,T-20,,100,done,,张辉,2026/03/05,2026/03/07
册入库提交,T-167,T-20,,100,done,,张辉,2026/03/09,2026/03/14
包入库提交,T-168,T-20,,100,done,,张辉,2026/03/16,2026/03/17
箱入库提交,T-169,T-20,,100,done,,张辉,2026/03/18,2026/03/19
包入库签收,T-170,T-21,,100,done,,陈义康,2026/03/03,2026/03/07
箱入库签收,T-171,T-21,,100,done,,陈义康,2026/03/03,2026/03/07
册入库签收,T-172,T-21,条形码（跟随打印功能一起）,100,done,,陈义康,2026/03/03,2026/03/07
按包入库上架与下架,T-173,T-21,,100,done,,陈义康,2026/03/09,2026/03/13
按箱入库上架与下架,T-174,T-21,,100,done,,陈义康,2026/03/09,2026/03/13
按册入库上架与下架,T-175,T-21,,100,done,,陈义康,2026/03/09,2026/03/13
会计档案保管登记簿（包）,T-176,T-21,,40,in_progress,,张辉,2026/03/31,2026/04/03
会计档案保管登记簿（册）,T-177,T-21,,20,in_progress,,张辉,2026/04/07,2026/04/08
包移库/移交,T-178,T-21,,100,done,,陈义康,2026/03/14,2026/03/19
箱移库/移交,T-179,T-21,,100,done,,陈义康,2026/03/14,2026/03/19
册移库/移交,T-180,T-21,,100,done,,陈义康,2026/03/14,2026/03/19
盘库管理,T-181,T-21,,100,done,,张辉,2026/03/20,2026/03/24
盘库异常登记簿,T-182,T-21,,100,done,,张辉,2026/03/25,2026/03/26
库房拆包,T-183,T-21,,100,done,,张辉,2026/03/27,2026/03/28
库房拆箱,T-184,T-21,,100,done,,张辉,2026/03/30,2026/03/30
档案鉴定,T-185,T-21,缺工作流,90,in_progress,,李金阳,2026/03/05,2026/03/17
鉴定结果查询,T-186,T-21,,100,done,,李金阳,2026/03/05,2026/03/14
电子档案鉴定,T-187,T-21,时间包含工作流，但是现在无法做，自行预留时间,90,in_progress,,李金阳,2026/03/05,2026/03/14
借阅申请,T-188,T-22,,100,done,,陈义康,2026/03/20,2026/03/28
借阅审批,T-189,T-22,档案 工作流,60,in_progress,,陈义康,2026/03/20,2026/03/28
借阅确认,T-190,T-22,,100,done,,陈义康,2026/03/30,2026/04/03
借阅登记簿,T-191,T-22,,80,in_progress,,陈义康,2026/03/30,2026/04/03
电子档案调阅查询,T-192,T-22,,20,in_progress,,陈义康,2026/03/30,2026/04/03
销毁申请,T-193,T-23,包含工作流，但是现在无法做，自行预留时间,90,in_progress,,高歌,2026/03/16,2026/03/25
销毁确认,T-194,T-23,,90,in_progress,,高歌,2026/03/16,2026/03/25
档案影像查询,T-195,T-24,,70,in_progress,,高歌,2026/03/29,2026/04/02
影像操作登记簿,T-196,T-24,,100,done,,高歌,2026/04/03,2026/04/04
扫描凭证查询,T-197,T-24,,100,done,,陈义康,2026/02/11,2026/02/24
非扫描凭证查询,T-198,T-24,,100,done,,陈义康,2026/02/25,2026/02/26
包查询,T-199,T-24,,100,done,,陈义康,2026/02/27,2026/03/02
箱查询,T-200,T-24,,100,done,,陈义康,2026/02/27,2026/03/02
库房容量查询,T-201,T-24,持续补充功能,100,done,,张辉,2026/03/10,2026/03/31
库房机构查询,T-202,T-24,,100,done,,高歌,2026/03/12,2026/03/14
库房日志查询,T-203,T-24,查询基本功能已完成 / 但需持续补充操作日志保存功能，开发到对应的功能进行调用现有的接口补充即可,80,in_progress,,张辉,2026/03/10,2026/03/31
打印信息查询-及各个模块的打印功能,T-204,T-24,,50,in_progress,,张辉,2026/04/07,2026/04/16
档案汇总查询,T-205,T-24,,100,done,,高歌,2026/03/25,2026/03/28
库房定义,T-206,T-25,,100,done,,张辉,2026/02/05,2026/02/07
档案代码定义,T-207,T-25,缺少授权组件,90,in_progress,,张辉,2026/02/09,2026/02/10
常量维护记录查询,T-208,T-25,缺少授权组件的授权人字段保存到记录,90,in_progress,,张辉,2026/02/11,2026/02/12
机构监测画像,T-209,T-26,运营管理平台_关联系统需求V1.3（20251216）文档标红的无法取值,70,in_progress,,李金阳,2026/03/16,2026/04/03
机构画像,T-210,T-26,地图怎么办。,70,in_progress,,李金阳,2026/03/16,2026/04/03
人员汇总画像,T-211,T-26,运营管理平台_关联系统需求V1.3（20251216）文档标红的无法取值,90,in_progress,,李金阳,2026/03/16,2026/04/03
单个员工画像,T-212,T-26,运营管理平台_关联系统需求V1.3（20251216）文档标红的无法取值,80,in_progress,,李金阳,2026/03/16,2026/04/03
员工风险画像,T-213,T-26,取值文档未明确取值,80,in_progress,,李金阳,2026/03/16,2026/04/03
运营风险监测画像,T-214,T-26,运营管理平台_关联系统需求V1.3（20251216）文档标红的无法取值,80,in_progress,,李金阳,2026/04/07,2026/04/25
支付交易画像,T-215,T-26,,50,in_progress,,李金阳,2026/04/07,2026/04/25
账户管理画像,T-216,T-26,,0,todo,,李金阳,2026/04/07,2026/04/25
现金业务画像,T-217,T-26,,0,todo,,李金阳,2026/04/07,2026/04/25
业务全景画像,T-218,T-26,,0,todo,,李金阳,2026/04/07,2026/04/25
集中监督监控大屏,T-219,T-26,,0,todo,,李金阳,2026/04/26,2026/05/15
远程银行监控大屏,T-220,T-26,,0,todo,,李金阳,2026/04/26,2026/05/15
资金清算监控大屏,T-221,T-26,,0,todo,,李金阳,2026/04/26,2026/05/15
集中作业监控大屏,T-222,T-26,外部系统有现成的，我们做超链接,0,todo,,李金阳,2026/04/26,2026/05/15
集中授权监控大屏,T-223,T-26,外部系统有现成的，我们做超链接,0,todo,,李金阳,2026/04/26,2026/05/15
云图画像,T-224,T-26,,0,todo,,李金阳,2026/04/26,2026/05/15
自定义监督模型,T-225,T-28,,25,in_progress,,黄志文,2026/01/29,2026/02/03
根据模型编号查询模型配置信息,T-226,T-28,接口：/orms/ommm/ommmSuModelConfig/getSuModelAllConifByCode,0,todo,,黄志文,2026/03/25,2026/03/27
自定义预警模型,T-227,T-28,需求实现方案待定，暂停中，需推进关联方确认取数方案,100,done,,杜宝祥,2026/01/27,2026/02/12
积分卡模型,T-228,T-28,需求实现方案待定，暂停中，需推进关联方确认取数方案后和湖仓对接指标加工方案,100,done,,杜宝祥,2026/01/27,2026/02/12
预警模型查询,T-229,T-28,合并,100,done,,杜宝祥,2026/01/27,2026/02/12
AI智能分析,T-230,T-28,嵌入页面需要登录，对接方答复没法配合对接，需要自己研究，暂缓（建议系统内挂链接弹出登录页）,100,done,,杜宝祥,2026/01/15,2026/01/16
规则命中可视化,T-231,T-28,需求实现方案待定，暂停中,100,done,,杜宝祥,2026/01/19,2026/01/20
监督模型试验,T-232,T-29,页面展示需要调整  / 等接口实际联通还需要再详细调整 / 验印控件没给也没集成,60,in_progress,,黄志文,2026/01/30,2026/02/12
预警模型试验,T-233,T-29,,0,todo,,黄志文,2026/02/25,2026/03/12
派单开关,T-234,T-30,参数管理实现 后面配置,100,done,,高歌,2026/01/21,2026/01/21
派单人员管理,T-235,T-30,数据权限配置项依赖于业务提供（综合质检：集中作业、集中授权、远程银行、未监督交易），待提供后可补充,90,in_progress,,黄志文,2026/01/21,2026/01/23
派单顺序管理,T-236,T-30,合并在派单任务管理的后台代码中实现,0,todo,,黄志文,2026/04/07,2026/04/15
派单任务管理,T-237,T-30,涉及到规则变更后的任务重分配,90,in_progress,,黄志文,2026/01/26,2026/01/31
可疑名单管理,T-238,T-30,明全做部分，后续高歌完善,100,done,,高歌,2026/01/20,2026/01/21
派单任务分配,T-239,T-30,,30,in_progress,,黄志文,2026/04/16,2026/04/23
白名单管理,T-240,T-30,,100,done,,高歌,2026/01/20,2026/01/23
质检规则配置,T-241,T-30,1、部分字典是从业务表进行获取，但对应业务表暂时还没有,90,in_progress,,李金阳,2026/01/23,2026/01/28
质检难度系数配置,T-242,T-30,缺少交易码码值,95,in_progress,,高歌,2026/02/02,2026/02/04
监督任务处理,T-243,T-31,文哥在处理,50,todo,,黄志文,2026/02/25,2026/03/08
预警任务处理（总行模式）,T-244,T-31,,0,todo,,黄志文,2026/03/13,2026/03/31
预警任务处理（分行模式）,T-245,T-31,暂不做,0,todo,,黄志文,2026/04/01,2026/04/27
质检任务处理,T-246,T-31,暂停,10,in_progress,,李金阳,2026/02/25,2026/03/31
差错定义,T-247,T-32,,100,done,,杜宝祥,2026/01/08,2026/01/09
处理单创建,T-248,T-32,文哥在处理,0,todo,,黄志文,2026/03/09,2026/03/31
处理单待办,T-249,T-32,文哥在处理,0,todo,,黄志文,2026/03/09,2026/03/31
处理单待办-下发网点差错处理,T-250,T-32,优先处理 数据结构差流水部分没定下来 暂时没法给柜面提供,0,todo,,黄志文,2026/04/07,2026/04/20
处理单查询,T-251,T-32,文哥在处理,0,todo,,黄志文,2026/03/09,2026/03/31
监督信息查询,T-252,T-33,先做主界面列表查询和导出,90,in_progress,,高歌,2026/02/05,2026/02/12
预警信息查询,T-253,T-33,缺少查看影像公共写法，其余完成，预警任务完成后调用公共页面,90,in_progress,,高歌,2026/02/05,2026/02/28
柜员风险积分查询,T-254,T-33,,0,todo,,杜宝祥,2026/04/17,2026/05/15
质检信息查询,T-255,T-33,明细页面李金阳做完调用,70,in_progress,,高歌,2026/03/01,2026/03/04
重点监督模型比例查询,T-256,T-33,,100,done,,张辉,2026/01/08,2026/01/08
维护记录查询,T-257,T-33,,100,done,,张辉,2026/01/09,2026/01/09
柜员风险积分批量任务,T-258,T-33,,0,todo,,杜宝祥,2026/04/17,2026/05/15
授权登记簿,T-259,T-33,,100,done,,杜宝祥,2026/01/09,2026/01/09
模型数据查询,T-260,T-33,,100,done,,高歌,2026/03/05,2026/03/08
业务量统计表,T-261,T-34,外部接口无法进行后面，本地表待确认,50,in_progress,,高歌,2026/03/09,2026/03/16
逾期处理单统计表,T-262,T-34,外部接口无法进行后面，本地表待确认,50,in_progress,,高歌,2026/03/09,2026/03/16
操作员工作量统计表,T-263,T-34,外部接口无法进行后面，本地表待确认,50,in_progress,,高歌,2026/03/09,2026/03/16
操作员工作量统计表,T-264,T-35,,100,in_progress,,禹鸽,2026/03/16,2026/03/31
业务量与凭证量统计表,T-265,T-35,机构树未实现,100,in_progress,,禹鸽,2026/03/16,2026/03/31
柜员差错明细表,T-266,T-35,历史数据平台入参码值未提供,90,in_progress,,禹鸽,2026/03/16,2026/03/31
网点柜员业务量统计表,T-267,T-35,,100,in_progress,,禹鸽,2026/03/16,2026/03/31
模型数据统计表,T-268,T-35,历史数据平台入参码值未提供,90,in_progress,,禹鸽,2026/03/16,2026/03/31
处理单,T-269,T-35,（包含：核实单、内部处理单、移交单、风险提示单）、历史数据平台入参码值未提供,90,in_progress,,禹鸽,2026/03/16,2026/03/31
模型日志,T-270,T-35,,100,in_progress,,禹鸽,2026/03/16,2026/03/31
日志(用户角色更改记录)查询,T-271,T-35,历史数据平台入参码值未提供,90,in_progress,,禹鸽,2026/03/16,2026/03/31
再监督日志查询,T-272,T-35,历史数据平台入参码值未提供,90,in_progress,,禹鸽,2026/03/16,2026/03/31
授权信息查询,T-273,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
省中心预警日志查询,T-274,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
流水信息查询,T-275,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
影像查询,T-276,T-35,拆分2个接口，前端起不来，后端历史数据平台返回多条有问题,50,in_progress,,逄淑悦,2026/03/16,2026/03/31
历史监督信息查询,T-277,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
智能监督数据查询,T-278,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
重点监督再监督查询,T-279,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
历史预警信息查询,T-280,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
准实时历史预警信息查询,T-281,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
历史作业授权质检查询,T-282,T-35,(包含1质检登记簿查询、2作业授权差错登记簿、3作业任务问题确认),60,in_progress,,逄淑悦,2026/03/16,2026/03/31
柜员交接日志,T-283,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
主管工作日志,T-284,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
柜员假期维护,T-285,T-35,前端起不来，后端测通,80,in_progress,,逄淑悦,2026/03/16,2026/03/31
"监督T+1数据入库批量任务
-存款证明处理信息 RB_DEPOSIT_CERT_REC",T-286,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-代理人信息登记簿 RB_COMMISSION_REGISTER",T-287,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-凭证更换信息表 RB_VOUCHER_CHANGE_INFO",T-288,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-账户密码修改历史表 RB_PASSWORD_HIST",T-289,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-账户挂失明细 RB_VOUCHER_LOST_DETAIL",T-290,T-36,转实时,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-批量转账明细登记簿 RB_BATCH_TRANSFER_DETAIL",T-291,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-账户遗产继承表 RB_INHERIT",T-292,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-客户账户信息表 RB_CLIENT_ACCT",T-293,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-合约基本信息表 AGR_BASE_AGREEMENT",T-294,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-客户联系人表 CIF_CONTACT_LIST",T-295,T-36,,100,done,,杜宝祥,2026/02/04,2026/03/06
"监督T+1数据入库批量任务
-联网核查结果表 tbl_tranlog2",T-296,T-36,转实时,100,done,,杜宝祥,2026/02/04,2026/03/06
"预警T+1数据入库批量任务
-挂销账挂账登记簿 IA_HANG_ACCOUNT_REG",T-297,T-36,,100,done,,杜宝祥,2026/02/02,2026/02/12
"预警T+1数据入库批量任务
-凭证转移表 TB_VOUCHER_MOVE",T-298,T-36,,100,done,,杜宝祥,2026/02/02,2026/02/12
