title,importId,parentImportId,description,status,priority,assignee,dueDate
登录方式,T001,,所属模块: 系统管理,done,medium,郭震,2026-01-23
登录页面优化,T002,,所属模块: 系统管理,done,medium,陈奇,2026-01-19
机构设置,T003,,"所属模块: 系统管理
需要联调调整",done,medium,赵庆欣,2026-02-12
机构前端组件封装,T004,,所属模块: 系统管理,done,medium,陈奇,2026-01-21
用户管理,T005,,"所属模块: 系统管理
3月19号拿到人力用户信息同步接口
3月11号拿到接口字段码值说明",in_progress,medium,赵庆欣,2026-02-12
参数设置,T006,,所属模块: 系统管理,done,medium,黄志文,2026-01-04
工作平台,T007,,所属模块: 系统管理,done,medium,赵庆欣,2026-01-15
工作平台前端,T008,,所属模块: 系统管理,in_progress,medium,陈奇,2026-01-15
任务中心公共服务开发,T009,,所属模块: 系统管理,done,medium,赵庆欣,2026-01-15
消息中心开发,T010,,所属模块: 系统管理,done,medium,赵庆欣,2026-01-17
机构开立/变更,T011,,所属模块: 机构管理,done,medium,陈义康,2026-01-29
机构撤并管理,T012,,所属模块: 机构管理,done,medium,陈义康,2026-01-29
柜员信息维护申请表,T013,,"所属模块: 人员管理
审批信息打印下载
公共实现",done,medium,杜宝祥,2026-01-26
假期维护,T014,,所属模块: 人员管理,done,medium,吴卓隆,2025-12-29
假期提前销假,T015,,所属模块: 人员管理,done,medium,吴卓隆,2025-12-29
轮岗参数配置,T016,,所属模块: 人员管理,done,medium,吴卓隆,2026-01-05
轮岗数据查询,T017,,所属模块: 人员管理,done,medium,吴卓隆,2026-01-05
专业人才库入库人员名单,T018,,所属模块: 人员管理,done,medium,吴卓隆,2026-01-05
流程审批,T019,,"所属模块: 移动办公
细化具体要放在移动端审批的功能",in_progress,medium,陈奇,2026-03-26
信息提醒与查看,T020,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
假期维护申请,T021,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
提前销假申请,T022,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
画像查看,T023,,所属模块: 移动办公,backlog,medium,陈奇,2026-05-15
查库执行,T024,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
查库台账,T025,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
检查执行,T026,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
业务印章管理台账（重要物品）,T027,,所属模块: 移动办公,backlog,medium,陈奇,2026-03-26
电子登记簿（非指纹类）,T028,,所属模块: 移动办公,in_progress,medium,陈奇,2026-02-11
案例库查看,T029,,所属模块: 移动办公,backlog,medium,陈奇,2026-04-08
增加防伪水印,T030,,所属模块: 移动办公,done,medium,陈奇,2026-02-05
现金库存预警阈值测算,T031,,"所属模块: 现金库存预警阈值测算
湖仓数据表同步（已归为公共部门）",done,medium,陈义康,2026-01-20
重空或业务用纸版面设计,T032,,"所属模块: 凭证管理
工作流-退回",done,medium,陈义康,2026-01-17
凭证定制申请,T033,,"所属模块: 凭证管理
工作流-退回",done,medium,陈义康,2026-01-17
凭证定制信息维护,T034,,所属模块: 凭证管理,done,medium,陈义康,2026-01-17
凭证申领登记簿,T035,,所属模块: 凭证管理,done,medium,陈义康,2026-01-17
凭证移交,T036,,所属模块: 凭证管理,done,medium,陈义康,2026-01-17
凭证作废登记簿,T037,,所属模块: 凭证管理,done,medium,陈义康,2026-01-17
凭证销毁申请,T038,,所属模块: 凭证管理,done,medium,陈义康,2026-01-17
凭证销毁登记簿,T039,,"所属模块: 凭证管理
需求取消",done,medium,陈义康,2026-01-17
凭证特殊使用申请,T040,,"所属模块: 凭证管理
工作流-退回",done,medium,陈义康,2026-01-17
业务印章设计,T041,,所属模块: 业务印章管理,done,medium,黄志文,2026-01-19
业务印章申请,T042,,所属模块: 业务印章管理,done,medium,黄志文,2026-01-19
业务印章入库登记,T043,,"所属模块: 业务印章管理
文件上传下载预览，后台改存储方式",done,medium,张辉,2026-01-19
业务印章停/启用,T044,,"所属模块: 业务印章管理
改为复核",done,medium,张辉,2026-01-19
业务印章移交,T045,,"所属模块: 业务印章管理
文件上传下载预览，后台改存储方式",done,medium,张辉,2026-01-19
业务印章销毁,T046,,所属模块: 业务印章管理,done,medium,黄志文,2026-01-19
业务印章管理台账,T047,,"所属模块: 业务印章管理
文件上传下载预览，后台改存储方式",done,medium,张辉,2026-01-19
重要物品种类维护,T048,,所属模块: 重要物品管理,done,medium,陈义康,2025-12-31
重要物品登记,T049,,"所属模块: 重要物品管理
数据权限 只能查询本机构和下级机构的数据",done,medium,陈义康,2025-12-31
重要物品领取,T050,,所属模块: 重要物品管理,done,medium,陈义康,2025-12-31
重要物品交接,T051,,所属模块: 重要物品管理,done,medium,陈义康,2025-12-31
重要物品销毁,T052,,"所属模块: 重要物品管理
无工作流",done,medium,陈义康,2026-01-07
重要（备用）物品启用/停用,T053,,所属模块: 重要物品管理,done,medium,陈义康,2026-01-07
查库参数配置,T054,,所属模块: 查库管理,done,medium,高歌,2025-12-24
查库执行计划,T055,,所属模块: 查库管理,done,medium,高歌,2026-01-20
查库执行管理,T056,,所属模块: 查库管理,done,medium,高歌,2026-01-20
查库执行管理-文件类接口解析,T057,,"所属模块: 查库管理
文件数据返回接口已完成开发：二代货发假币收缴登记簿查询接口SCMS85341500**    ==带回来的文件应该解析出具体数据==",done,medium,吴卓隆,2026-02-12
查库执行台账,T058,,"所属模块: 查库管理
缺远程查库查看影像对接影像平台",in_progress,medium,高歌,2026-01-20
业务印章查库计划,T059,,所属模块: 查库管理,done,medium,高歌,2026-01-20
业务印章查库执行,T060,,所属模块: 查库管理,done,medium,高歌,2026-01-20
电子印章查库计划,T061,,所属模块: 查库管理,done,medium,高歌,2026-01-20
电子印章查库执行,T062,,所属模块: 查库管理,done,medium,高歌,2026-01-20
转代执行查库,T063,,所属模块: 查库管理,done,medium,高歌,2026-01-20
查库批量任务及远程任务推送+消息通知,T064,,所属模块: 查库管理,done,medium,高歌,2026-02-12
检查内容分类维护,T065,,所属模块: 检查管理,done,medium,李金阳,2026-01-07
检查问题分类维护,T066,,所属模块: 检查管理,done,medium,李金阳,2026-01-09
检查计划,T067,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
检查执行,T068,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
事实认定,T069,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
结果确认,T070,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
检查报告,T071,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
问题跟踪整改,T072,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
问题整改确认,T073,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
检查人员管理,T074,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
检查管理台账,T075,,所属模块: 检查管理,done,medium,李金阳,2026-01-31
现金处理机具维护升级登记簿,T076,,所属模块: 电子登记簿,done,medium,吴卓隆,2026-01-31
非管库人员入库登记簿,T077,,所属模块: 电子登记簿,done,medium,吴卓隆,2026-01-31
登记运营主管工作日志交易,T078,,"所属模块: 电子登记簿
待柜面确认同步考勤数据方式",done,medium,吴卓隆,2026-01-31
登记运营主管工作日志报表,T079,,所属模块: 电子登记簿,done,medium,吴卓隆,2026-01-31
会计岗位交接登记簿,T080,,所属模块: 电子登记簿,done,medium,吴卓隆,2026-01-31
自助设备机构长款申请调账单,T081,,"所属模块: 审批流程管理
待柜面联调",done,medium,黄志文,2026-02-12
客户单户优惠汇率维护,T082,,"所属模块: 审批流程管理
差核心接口",in_progress,medium,黄志文,2026-02-12
资金调拨单流程,T083,,所属模块: 审批流程管理,in_progress,medium,黄志文,2026-02-12
知识库管理,T084,,所属模块: 知识库,backlog,medium,黄志文,2026-05-31
智能检索,T085,,所属模块: 知识库,backlog,medium,黄志文,2026-05-31
报告模板管理,T086,,所属模块: 报告功能,backlog,medium,,
报告生成,T087,,所属模块: 报告功能,backlog,medium,,
数据查看,T088,,所属模块: 报告功能,backlog,medium,,
数据补录管理-任务列表,T089,,所属模块: 报告功能,backlog,medium,,
数据补录管理-新增补录任务,T090,,所属模块: 报告功能,backlog,medium,,
数据补录管理-待补录数据表列表,T091,,所属模块: 报告功能,backlog,medium,,
数据补录管理-补录数据明细,T092,,所属模块: 报告功能,backlog,medium,,
补录情况查看,T093,,所属模块: 报告功能,backlog,medium,,
新增案例,T094,,"所属模块: 案例库管理
对接存储平台公共方法实现",done,medium,杜宝祥,2026-01-14
案例下线,T095,,所属模块: 案例库管理,done,medium,杜宝祥,2026-01-14
案例查询,T096,,所属模块: 案例库管理,done,medium,杜宝祥,2026-01-14
新增模板,T097,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
模板编辑,T098,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
模板查询,T099,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
模板复核,T100,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
任务发布,T101,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
模板收回,T102,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
任务管理,T103,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
填写情况查看,T104,,所属模块: 自定义数据填写,done,medium,赵庆欣,2026-02-12
交易评分,T105,,所属模块: 其他,done,medium,陈义康,2026-01-21
扫描凭证登记,T106,,"所属模块: 档案管理-网点登记
细节及公共部分待优化",in_progress,medium,张辉,2026-02-02
非扫描凭证登记,T107,,"所属模块: 档案管理-网点登记
细节及公共部分待优化",in_progress,medium,张辉,2026-02-04
凭证签收,T108,,所属模块: 档案管理-签收整理,done,medium,张辉,2026-02-28
封包,T109,,所属模块: 档案管理-签收整理,done,medium,张辉,2026-03-04
封箱,T110,,所属模块: 档案管理-签收整理,done,medium,张辉,2026-03-07
册入库提交,T111,,所属模块: 档案管理-签收整理,in_progress,medium,张辉,2026-03-14
包入库提交,T112,,所属模块: 档案管理-签收整理,in_progress,medium,张辉,2026-03-17
箱入库提交,T113,,所属模块: 档案管理-签收整理,in_progress,medium,张辉,2026-03-19
包入库签收,T114,,所属模块: 档案管理-科学保管,done,medium,陈义康,2026-03-07
箱入库签收,T115,,所属模块: 档案管理-科学保管,done,medium,陈义康,2026-03-07
册入库签收,T116,,"所属模块: 档案管理-科学保管
条形码（跟随打印功能一起）",done,medium,陈义康,2026-03-07
按包入库上架与下架,T117,,所属模块: 档案管理-科学保管,done,medium,陈义康,2026-03-13
按箱入库上架与下架,T118,,所属模块: 档案管理-科学保管,done,medium,陈义康,2026-03-13
按册入库上架与下架,T119,,所属模块: 档案管理-科学保管,done,medium,陈义康,2026-03-13
会计档案保管登记簿（包）,T120,,所属模块: 档案管理-科学保管,backlog,medium,张辉,2026-04-03
会计档案保管登记簿（册）,T121,,所属模块: 档案管理-科学保管,backlog,medium,张辉,2026-04-08
包移库/移交,T122,,所属模块: 档案管理-科学保管,in_progress,medium,陈义康,2026-03-18
箱移库/移交,T123,,所属模块: 档案管理-科学保管,in_progress,medium,陈义康,2026-03-18
册移库/移交,T124,,所属模块: 档案管理-科学保管,in_progress,medium,陈义康,2026-03-18
盘库管理,T125,,所属模块: 档案管理-科学保管,backlog,medium,张辉,2026-03-24
盘库异常登记簿,T126,,所属模块: 档案管理-科学保管,backlog,medium,张辉,2026-03-26
库房拆包,T127,,所属模块: 档案管理-科学保管,backlog,medium,张辉,2026-03-28
库房拆箱,T128,,所属模块: 档案管理-科学保管,backlog,medium,张辉,2026-03-30
档案鉴定,T129,,"所属模块: 档案管理-科学保管
时间包含工作流，但是现在无法做，自行预留时间",in_progress,medium,李金阳,2026-03-17
鉴定结果查询,T130,,所属模块: 档案管理-科学保管,in_progress,medium,李金阳,2026-03-14
电子档案鉴定,T131,,所属模块: 档案管理-科学保管,in_progress,medium,李金阳,2026-03-14
借阅申请,T132,,所属模块: 档案管理-档案借阅,backlog,medium,陈义康,2026-03-27
借阅审批,T133,,所属模块: 档案管理-档案借阅,backlog,medium,陈义康,2026-03-27
借阅确认,T134,,所属模块: 档案管理-档案借阅,backlog,medium,陈义康,2026-04-01
借阅登记簿,T135,,所属模块: 档案管理-档案借阅,backlog,medium,陈义康,2026-04-01
电子档案调阅查询,T136,,所属模块: 档案管理-档案借阅,backlog,medium,陈义康,2026-04-03
销毁申请,T137,,"所属模块: 档案管理-档案销毁
时间包含工作流，但是现在无法做，自行预留时间",backlog,medium,高歌,2026-03-25
销毁确认,T138,,所属模块: 档案管理-档案销毁,backlog,medium,高歌,2026-03-25
档案影像查询,T139,,"所属模块: 档案管理-档案查询
暂停",backlog,medium,高歌,2026-03-21
影像操作登记簿,T140,,"所属模块: 档案管理-档案查询
暂停",backlog,medium,高歌,2026-03-23
扫描凭证查询,T141,,所属模块: 档案管理-档案查询,done,medium,陈义康,2026-02-24
非扫描凭证查询,T142,,所属模块: 档案管理-档案查询,done,medium,陈义康,2026-02-26
包查询,T143,,所属模块: 档案管理-档案查询,done,medium,陈义康,2026-03-02
箱查询,T144,,所属模块: 档案管理-档案查询,done,medium,陈义康,2026-03-02
库房容量查询,T145,,"所属模块: 档案管理-档案查询
持续补充功能",in_progress,medium,张辉,2026-03-31
库房机构查询,T146,,所属模块: 档案管理-档案查询,in_progress,medium,高歌,2026-03-14
库房日志查询,T147,,"所属模块: 档案管理-档案查询
持续补充操作日志保存功能",in_progress,medium,张辉,2026-03-31
打印信息查询-及各个模块的打印功能,T148,,"所属模块: 档案管理-档案查询
暂停",backlog,medium,张辉,2026-04-16
档案汇总查询,T149,,所属模块: 档案管理-档案查询,backlog,medium,高歌,2026-03-28
库房定义,T150,,所属模块: 档案管理-常量定义,done,medium,张辉,2026-02-07
档案代码定义,T151,,"所属模块: 档案管理-常量定义
缺少授权组件",in_progress,medium,张辉,2026-02-10
常量维护记录查询,T152,,"所属模块: 档案管理-常量定义
缺少授权组件的授权人字段保存到记录",in_progress,medium,张辉,2026-02-12
机构监测画像,T153,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-03
机构画像,T154,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-03
人员汇总画像,T155,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-03
单个员工画像,T156,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-03
员工风险画像,T157,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-03
运营风险监测画像,T158,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-25
支付交易画像,T159,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-25
账户管理画像,T160,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-25
现金业务画像,T161,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-25
业务全景画像,T162,,所属模块: 视图画像,backlog,medium,李金阳,2026-04-25
集中监督监控大屏,T163,,所属模块: 视图画像,backlog,medium,李金阳,2026-05-15
远程银行监控大屏,T164,,所属模块: 视图画像,backlog,medium,李金阳,2026-05-15
资金清算监控大屏,T165,,所属模块: 视图画像,backlog,medium,李金阳,2026-05-15
集中作业监控大屏,T166,,所属模块: 视图画像,backlog,medium,李金阳,2026-05-15
集中授权监控大屏,T167,,所属模块: 视图画像,backlog,medium,李金阳,2026-05-15
云图画像,T168,,所属模块: 视图画像,backlog,medium,李金阳,2026-05-15
自定义监督模型,T169,,所属模块: 监督预警-模型实验室-模型管理,in_progress,medium,黄志文,2026-02-03
自定义预警模型,T170,,"所属模块: 监督预警-模型实验室-模型管理
需求实现方案待定，暂停中，需推进关联方确认取数方案",done,medium,杜宝祥,2026-02-12
积分卡模型,T171,,"所属模块: 监督预警-模型实验室-模型管理
需求实现方案待定，暂停中，需推进关联方确认取数方案后和湖仓对接指标加工方案",done,medium,杜宝祥,2026-02-12
预警模型查询,T172,,"所属模块: 监督预警-模型实验室-模型管理
合并",done,medium,杜宝祥,2026-02-12
AI智能分析,T173,,"所属模块: 监督预警-模型实验室-模型管理
嵌入页面需要登录，对接方答复没法配合对接，需要自己研究，暂缓（建议系统内挂链接弹出登录页）",done,medium,杜宝祥,2026-01-16
规则命中可视化,T174,,"所属模块: 监督预警-模型实验室-模型管理
需求实现方案待定，暂停中",done,medium,杜宝祥,2026-01-20
监督模型试验,T175,,"所属模块: 监督预警-模型实验室-模型试验
页面展示需要调整 
等接口实际联通还需要再详细调整
验印控件没给也没集成",in_progress,medium,黄志文,2026-02-12
预警模型试验,T176,,所属模块: 监督预警-模型实验室-模型试验,backlog,medium,黄志文,2026-03-12
派单开关,T177,,"所属模块: 监督预警-配置管理
参数管理实现 后面配置",done,medium,高歌,2026-01-21
派单人员管理,T178,,"所属模块: 监督预警-配置管理
数据权限配置项依赖于业务提供（综合质检：集中作业、集中授权、远程银行、未监督交易），待提供后可补充",in_progress,medium,黄志文,2026-01-23
派单顺序管理,T179,,"所属模块: 监督预警-配置管理
合并在派单任务管理的后台代码中实现",backlog,medium,黄志文,2026-04-15
派单任务管理,T180,,"所属模块: 监督预警-配置管理
涉及到规则变更后的任务重分配",in_progress,medium,高歌,2026-01-31
可疑名单管理,T181,,"所属模块: 监督预警-配置管理
明全做部分，后续高歌完善",done,medium,高歌,2026-01-21
派单任务分配,T182,,所属模块: 监督预警-配置管理,in_progress,medium,黄志文,2026-04-23
白名单管理,T183,,所属模块: 监督预警-配置管理,done,medium,高歌,2026-01-23
质检规则配置,T184,,"所属模块: 监督预警-配置管理
1、部分字典是从业务表进行获取，但对应业务表暂时还没有",in_progress,medium,李金阳,2026-01-28
质检难度系数配置,T185,,"所属模块: 监督预警-配置管理
缺少交易码码值",in_progress,medium,高歌,2026-02-04
监督任务处理,T186,,"所属模块: 监督预警-任务处理
文哥在处理",backlog,medium,黄志文,2026-03-08
预警任务处理（总行模式）,T187,,所属模块: 监督预警-任务处理,backlog,medium,黄志文,2026-03-31
预警任务处理（分行模式）,T188,,"所属模块: 监督预警-任务处理
暂不做",backlog,medium,黄志文,2026-04-27
质检任务处理,T189,,"所属模块: 监督预警-任务处理
暂停",in_progress,medium,李金阳,2026-03-31
差错定义,T190,,所属模块: 监督预警-差错管理,done,medium,杜宝祥,2026-01-09
处理单创建,T191,,"所属模块: 监督预警-差错管理
文哥在处理",backlog,medium,黄志文,2026-03-31
处理单待办,T192,,"所属模块: 监督预警-差错管理
文哥在处理",backlog,medium,黄志文,2026-03-31
处理单待办-下发网点差错处理,T193,,"所属模块: 监督预警-差错管理
优先处理 数据结构差流水部分没定下来 暂时没法给柜面提供",backlog,medium,黄志文,2026-04-20
处理单查询,T194,,"所属模块: 监督预警-差错管理
文哥在处理",backlog,medium,黄志文,2026-03-31
监督信息查询,T195,,"所属模块: 监督预警-模型实验室-综合查询
先做主界面列表查询和导出",in_progress,medium,高歌,2026-02-12
预警信息查询,T196,,"所属模块: 监督预警-模型实验室-综合查询
缺少查看影像公共写法，其余完成，预警任务完成后调用公共页面",in_progress,medium,高歌,2026-02-28
柜员风险积分查询,T197,,所属模块: 监督预警-模型实验室-综合查询,backlog,medium,杜宝祥,2026-05-15
质检信息查询,T198,,"所属模块: 监督预警-模型实验室-综合查询
明细页面李金阳做完调用",in_progress,medium,高歌,2026-03-04
重点监督模型比例查询,T199,,所属模块: 监督预警-模型实验室-综合查询,done,medium,张辉,2026-01-08
维护记录查询,T200,,所属模块: 监督预警-模型实验室-综合查询,done,medium,张辉,2026-01-09
柜员风险积分批量任务,T201,,所属模块: 监督预警-模型实验室-综合查询,backlog,medium,杜宝祥,2026-05-15
授权登记簿,T202,,所属模块: 监督预警-模型实验室-综合查询,done,medium,杜宝祥,2026-01-09
模型数据查询,T203,,所属模块: 监督预警-模型实验室-综合查询,done,medium,高歌,2026-03-08
业务量统计表,T204,,"所属模块: 监督预警-模型实验室-统计报表
外部接口无法进行后面",in_progress,medium,高歌,2026-03-16
逾期处理单统计表,T205,,"所属模块: 监督预警-模型实验室-统计报表
外部接口无法进行后面",in_progress,medium,高歌,2026-03-16
操作员工作量统计表,T206,,"所属模块: 监督预警-模型实验室-统计报表
外部接口无法进行后面",in_progress,medium,高歌,2026-03-16
操作员工作量统计表,T207,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
业务量与凭证量统计表,T208,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
柜员差错明细表,T209,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
网点柜员业务量统计表,T210,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
模型数据统计表,T211,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
处理单查询,T212,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
模型日志,T213,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
日志(用户角色更改记录)查询,T214,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
再监督日志查询,T215,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
授权信息查询,T216,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
省中心预警日志查询,T217,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
流水信息查询,T218,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
影像查询,T219,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
历史监督信息查询,T220,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
智能监督数据查询,T221,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
重点监督再监督查询,T222,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
历史预警信息查询,T223,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
准实时历史预警信息查询,T224,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
历史作业授权质检查询,T225,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
柜员交接日志,T226,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
主管工作日志,T227,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
柜员假期维护,T228,,所属模块: 监督预警-模型实验室-历史数据查询,in_progress,medium,吴卓隆,2026-03-31
监督T+0数据入库后整合至监督主流水表批量任务,T229,,所属模块: 监督预警-批量任务,in_progress,medium,黄志文,2026-03-06
"监督T+1数据入库批量任务
-存款证明处理信息 RB_DEPOSIT_CERT_REC",T230,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-代理人信息登记簿 RB_COMMISSION_REGISTER",T231,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-凭证更换信息表 RB_VOUCHER_CHANGE_INFO",T232,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-账户密码修改历史表 RB_PASSWORD_HIST",T233,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-账户挂失明细 RB_VOUCHER_LOST_DETAIL",T234,,"所属模块: 监督预警-批量任务
转实时",done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-批量转账明细登记簿 RB_BATCH_TRANSFER_DETAIL",T235,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-账户遗产继承表 RB_INHERIT",T236,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-客户账户信息表 RB_CLIENT_ACCT",T237,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-合约基本信息表 AGR_BASE_AGREEMENT",T238,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-客户联系人表 CIF_CONTACT_LIST",T239,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-03-06
"监督T+1数据入库批量任务
-联网核查结果表 tbl_tranlog2",T240,,"所属模块: 监督预警-批量任务
转实时",done,medium,杜宝祥,2026-03-06
监督T+1数据入库后整合至监督主流水表批量任务,T241,,所属模块: 监督预警-批量任务,backlog,medium,黄志文,2026-03-06
"预警T+1数据入库批量任务
-挂销账挂账登记簿 IA_HANG_ACCOUNT_REG",T242,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-02-12
"预警T+1数据入库批量任务
-凭证转移表 TB_VOUCHER_MOVE",T243,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-02-12
"预警T+1数据入库批量任务
-客户关系表 CIF_CROSS_RELATIONS",T244,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-02-12
"预警T+1数据入库批量任务
-现金长短款挂账登记明细表 TB_CASH_SIGN_DETAIL",T245,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-02-12
"预警T+1数据入库批量任务
-帐户密码表 RB_PASSWORD",T246,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-02-12
"预警T+1数据入库批量任务
-客户证件信息 CIF_CLIENT_DOCUMENT",T247,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-02-12
"预警T+1数据入库批量任务
-帐户限制表 RB_RESTRAINTS",T248,,所属模块: 监督预警-批量任务,done,medium,杜宝祥,2026-02-12
